element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"38.9",125573,101027,15,270,3
2,"Arrizabalaga","ARS",1,49,"0.1",202,530,0,0,0
3,"Meslier","ARS",1,49,"0.0",78,189,0,0,0
4,"Gabriel","ARS",2,80,"24.8",30252,130801,15,270,3
5,"J.Timber","ARS",2,65,"0.1",417,911,0,0,0
6,"Saliba","ARS",2,59,"0.2",563,2385,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",4518,5957,8,226,3
8,"Calafiori","ARS",2,57,"47.7",262078,45794,22,236,3
9,"Hincapie","ARS",2,53,"1.1",2348,11595,2,32,0
10,"White","ARS",2,55,"7.6",67977,60098,20,270,3
11,"Mosquera","ARS",2,54,"3.4",580,94858,12,168,2
12,"Saka","ARS",3,95,"11.4",109412,64574,22,246,3
13,"Rice","ARS",3,74,"13.6",15288,78126,13,241,3
14,"Eze","ARS",3,64,"1.3",2630,17693,2,59,0
15,"Ødegaard","ARS",3,66,"13.6",269244,55283,24,221,3
16,"Madueke","ARS",3,63,"0.2",1057,2650,2,23,0
17,"Merino","ARS",3,59,"0.5",1269,6552,2,46,0
18,"Martinelli","ARS",3,63,"0.1",0,4678,0,0,0
19,"Zubimendi","ARS",3,54,"0.7",1097,7254,3,50,0
20,"Dowman","ARS",3,53,"0.1",380,828,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,244,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,198,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,72,0,0,0
25,"Gyökeres","ARS",4,73,"4.1",4194,54500,1,12,0
26,"Havertz","ARS",4,75,"7.5",103407,39725,16,257,3
27,"G.Jesus","ARS",4,59,"0.2",0,5834,0,0,0
31,"Konsa","ARS",2,44,"13.3",284101,52848,5,101,1
452,"Bruno G.","ARS",3,68,"1.8",1291,22364,1,19,0
557,"Tzolis","ARS",3,64,"17.4",40092,212861,11,210,3
29,"M.Bizot","AVL",1,45,"0.1",584,954,1,90,1
30,"Digne","AVL",2,45,"0.1",0,633,0,0,0
32,"Cash","AVL",2,45,"6.8",16404,26025,7,251,3
33,"Mings","AVL",2,45,"0.4",1707,1294,7,106,1
34,"Pau","AVL",2,45,"0.4",944,3149,2,163,2
35,"Bogarde","AVL",3,50,"0.1",418,694,1,16,0
36,"Maatsen","AVL",2,45,"0.8",5351,3139,8,245,3
37,"Lindelöf","AVL",2,45,"0.3",1616,1064,6,270,3
38,"A.García","AVL",2,40,"1.7",7664,10139,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.2",0,1323,0,0,0
41,"Buendía","AVL",3,59,"1.0",5130,11854,7,249,3
44,"Bailey","AVL",3,54,"0.1",0,3313,0,0,0
45,"McGinn","AVL",3,54,"2.3",7340,17945,5,261,3
46,"Barkley","AVL",3,50,"0.3",2661,1906,7,240,3
47,"Kamara","AVL",3,50,"0.3",2126,2630,7,270,3
48,"Onana","AVL",3,50,"0.0",68,173,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,15,0,0,0
50,"Burrowes","AVL",3,45,"0.7",4409,4853,0,0,0
51,"George Hemmings","AVL",3,45,"1.2",25615,10537,7,234,3
52,"Alysson","AVL",3,50,"0.0",281,403,2,42,0
53,"Manzambi","AVL",3,59,"0.1",258,1206,0,0,0
54,"Gomes","AVL",3,55,"0.0",65,317,-2,39,1
55,"Watkins","AVL",4,78,"3.4",0,86460,0,0,0
56,"Abraham","AVL",4,55,"0.2",2604,1620,2,24,0
160,"Garnacho","AVL",3,59,"0.4",976,5191,3,31,0
166,"N.Jackson","AVL",4,65,"1.1",16400,9816,4,154,2
582,"Madjo","AVL",4,55,"0.3",237,3193,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",139,703,2,23,0
597,"Suzuki","AVL",1,50,"1.5",39588,7658,12,180,2
606,"Rowe","AVL",2,40,"0.2",1762,1105,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,2189,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",1606,1309,2,17,0
618,"Goretzka","AVL",3,60,"0.1",857,1001,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",404,153,0,0,0
631,"Mbaye","AVL",3,60,"0.1",1959,803,0,0,0
57,"Petrović","BOU",1,45,"3.3",14488,18498,6,270,3
58,"Forster","BOU",1,40,"3.4",18399,10013,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,956,0,0,0
60,"Hill","BOU",2,55,"0.8",3630,5623,6,270,3
61,"Truffert","BOU",2,55,"3.5",5517,26270,5,270,3
62,"Diakité","BOU",2,50,"0.2",729,1747,0,0,0
63,"Milosavljević","BOU",2,50,"0.0",39,96,0,0,0
64,"Smith","BOU",2,45,"0.1",641,957,2,270,3
65,"J.Araujo","BOU",2,44,"0.0",62,146,0,0,0
66,"Soler","BOU",2,40,"0.3",2328,1582,0,0,0
67,"Rayan","BOU",3,64,"2.0",4203,24055,6,266,3
68,"Tavernier","BOU",3,60,"3.2",89477,21294,21,268,3
69,"Scott","BOU",3,60,"4.4",204719,24463,24,266,3
70,"Kluivert","BOU",3,60,"1.0",4410,11409,7,229,3
71,"Cook","BOU",3,50,"0.2",1316,1999,7,157,2
72,"Gannon-Doak","BOU",3,49,"0.1",213,606,2,2,0
73,"Adams","BOU",3,50,"0.3",3410,2086,6,111,1
74,"Brooks","BOU",3,50,"0.1",416,463,2,23,0
75,"Christie","BOU",3,50,"0.0",426,295,2,4,0
76,"Tóth.A","BOU",3,50,"0.0",48,131,1,15,0
77,"Adli","BOU",3,49,"0.0",34,186,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",122,2193,0,0,0
79,"Evanilson","BOU",4,60,"3.3",25906,24532,11,244,3
80,"Enes Ünal","BOU",4,55,"0.0",0,153,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",778,1045,1,9,0
566,"Silva","BOU",2,50,"0.4",2192,2984,7,270,3
573,"Sanchez","BOU",2,45,"0.2",151,912,0,0,0
608,"Jebbison","BOU",4,50,"0.1",2006,1047,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",458,319,0,0,0
82,"Kelleher","BRE",1,50,"6.8",19115,29992,11,270,3
83,"Valdimarsson","BRE",1,45,"0.1",336,565,0,0,0
84,"Collins","BRE",2,55,"1.8",1169,39716,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",41,817,0,0,0
86,"Lewis-Potter","BRE",3,55,"2.2",15418,16622,18,267,3
87,"Ajer","BRE",2,45,"4.9",26842,47965,13,270,3
88,"Kayode","BRE",2,46,"9.1",26869,62369,16,207,3
89,"Henry","BRE",2,45,"0.2",181,1099,1,2,0
90,"Hickey","BRE",2,45,"0.1",177,412,3,61,0
92,"Ji-soo","BRE",2,45,"0.0",62,143,0,0,0
93,"Schuster","BRE",2,45,"0.1",193,380,4,73,0
94,"Schade","BRE",3,60,"3.9",15626,41830,15,267,3
95,"O.Dango","BRE",3,64,"0.7",724,11666,5,140,2
96,"Damsgaard","BRE",3,55,"0.5",2952,2181,12,167,2
97,"Jensen","BRE",3,55,"0.1",18,2521,6,66,1
98,"Janelt","BRE",3,50,"1.6",81021,15005,21,270,3
99,"Milambo","BRE",3,50,"0.0",13,22,0,0,0
100,"Carvalho","BRE",3,50,"0.0",227,215,0,0,0
102,"Yarmoliuk","BRE",3,49,"0.8",467,8445,2,89,0
103,"Dasilva","BRE",3,50,"0.0",19,384,0,0,0
105,"Anthony","BRE",3,60,"0.1",408,1427,4,128,1
106,"Thiago","BRE",4,79,"11.9",12543,174670,4,262,3
107,"Furo","BRE",4,45,"1.1",11622,8053,0,0,0
108,"Wilson","BRE",4,55,"0.4",1698,3442,3,13,0
565,"M.Sangaré","BRE",3,57,"14.1",71269,162952,18,210,3
620,"Diouf","BRE",2,45,"0.1",1022,1262,0,0,0
109,"Verbruggen","BHA",1,45,"22.2",112639,87238,9,270,3
111,"Steele","BHA",1,40,"4.3",24158,16599,0,0,0
