element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,61,"42.2",96489,29100,30,450,5
2,"Arrizabalaga","ARS",1,49,"0.1",72,159,0,0,0
3,"Meslier","ARS",1,49,"0.0",34,75,0,0,0
4,"Gabriel","ARS",2,80,"22.8",15302,47552,25,450,5
5,"J.Timber","ARS",2,65,"0.4",8121,2473,1,104,1
6,"Saliba","ARS",2,59,"0.2",254,731,0,0,0
7,"Lewis-Skelly","ARS",3,54,"0.6",584,3787,9,271,4
8,"Calafiori","ARS",2,58,"50.6",51091,43580,29,416,5
9,"Hincapie","ARS",2,52,"0.9",914,4238,2,32,0
10,"White","ARS",2,55,"5.1",3065,47566,21,315,4
11,"Mosquera","ARS",2,53,"1.7",768,6622,12,168,2
12,"Saka","ARS",3,95,"13.5",67787,31821,32,416,5
13,"Rice","ARS",3,74,"12.1",6784,43245,20,411,5
14,"Eze","ARS",3,63,"1.0",1340,4727,4,85,0
15,"Ødegaard","ARS",3,68,"19.8",51749,64499,29,377,5
16,"Madueke","ARS",3,62,"0.2",498,1130,2,23,0
17,"Merino","ARS",3,58,"0.4",434,2078,4,81,0
18,"Martinelli","ARS",3,63,"0.1",0,367,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",325,2626,5,89,0
20,"Dowman","ARS",3,53,"0.1",309,395,1,9,0
22,"Nwaneri","ARS",3,54,"0.0",0,35,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,27,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,11,0,0,0
25,"Gyökeres","ARS",4,71,"3.1",3782,11534,2,29,0
26,"Havertz","ARS",4,76,"8.5",40899,32696,19,437,5
27,"G.Jesus","ARS",4,59,"0.1",0,644,0,0,0
31,"Konsa","ARS",2,46,"19.4",65618,30574,12,281,3
452,"Bruno G.","ARS",3,67,"1.8",3400,5253,9,123,1
557,"Tzolis","ARS",3,63,"12.4",8136,113248,16,362,5
29,"M.Bizot","AVL",1,45,"0.1",41,725,1,90,1
30,"Digne","AVL",2,45,"0.0",0,151,0,0,0
32,"Cash","AVL",2,44,"4.9",1881,18577,6,296,3
33,"Mings","AVL",2,45,"0.4",1140,934,10,261,2
34,"Pau","AVL",2,45,"0.3",20,2315,3,187,3
35,"Bogarde","AVL",3,49,"0.1",126,316,1,16,0
36,"Maatsen","AVL",2,45,"0.5",38,4621,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",677,857,8,450,5
38,"A.García","AVL",2,40,"1.5",1279,4291,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,374,0,0,0
41,"Buendía","AVL",3,59,"1.0",8317,2690,21,401,5
44,"Bailey","AVL",3,54,"0.1",0,340,0,0,0
45,"McGinn","AVL",3,54,"2.2",4677,5898,17,434,5
46,"Barkley","AVL",3,50,"0.3",381,1273,10,308,4
47,"Kamara","AVL",3,50,"0.3",879,1102,15,443,5
48,"Onana","AVL",3,49,"0.0",24,66,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,7,0,0,0
50,"Burrowes","AVL",3,45,"0.6",434,2442,0,0,0
51,"George Hemmings","AVL",3,45,"1.2",2269,7245,9,297,4
52,"Alysson","AVL",3,50,"0.0",55,577,8,87,0
53,"Manzambi","AVL",3,59,"0.3",21808,1697,14,98,1
54,"Gomes","AVL",3,55,"0.0",291,116,2,129,2
55,"Watkins","AVL",4,78,"2.5",0,8130,0,0,0
56,"Abraham","AVL",4,55,"0.2",1114,1177,4,71,0
160,"Garnacho","AVL",3,58,"0.3",343,1990,3,31,0
166,"N.Jackson","AVL",4,65,"1.4",24529,5091,10,286,4
582,"Madjo","AVL",4,54,"0.2",122,1354,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",367,234,5,113,1
597,"Suzuki","AVL",1,50,"1.9",9845,4335,16,360,4
606,"Rowe","AVL",2,40,"0.2",215,640,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,492,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",1011,1007,6,152,2
618,"Goretzka","AVL",3,59,"0.0",10,317,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",116,121,0,0,0
631,"Mbaye","AVL",3,60,"0.1",636,875,2,33,0
667,"Wright","AVL",1,40,"0.1",4346,325,0,0,0
57,"Petrović","BOU",1,45,"3.0",3947,7315,9,450,5
58,"Forster","BOU",1,40,"3.5",5868,4636,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,389,0,0,0
60,"Hill","BOU",2,55,"0.8",2081,2048,12,450,5
61,"Truffert","BOU",2,54,"3.0",3161,8530,10,450,5
62,"Diakité","BOU",2,49,"0.2",374,696,0,0,0
63,"Milosavljević","BOU",2,49,"0.0",15,26,0,0,0
64,"Smith","BOU",2,45,"0.1",272,320,4,434,5
65,"J.Araujo","BOU",2,44,"0.0",22,34,0,0,0
66,"Soler","BOU",2,40,"0.3",544,797,0,0,0
67,"Rayan","BOU",3,63,"1.6",2695,7148,10,434,5
68,"Tavernier","BOU",3,61,"6.7",58232,29400,31,424,5
69,"Scott","BOU",3,61,"5.7",15003,28184,30,446,5
70,"Kluivert","BOU",3,60,"0.9",2256,12384,15,294,4
71,"Cook","BOU",3,50,"0.2",182,821,8,180,2
72,"Gannon-Doak","BOU",3,49,"0.1",94,271,4,12,0
73,"Adams","BOU",3,50,"0.3",743,1176,12,279,3
74,"Brooks","BOU",3,50,"0.1",119,244,3,45,0
75,"Christie","BOU",3,50,"0.0",206,172,5,102,1
76,"Tóth.A","BOU",3,49,"0.0",17,41,2,17,0
77,"Adli","BOU",3,49,"0.0",15,54,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",117,569,0,0,0
79,"Evanilson","BOU",4,60,"3.2",11889,15102,18,424,5
80,"Enes Ünal","BOU",4,55,"0.0",0,30,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",491,477,2,10,0
566,"Silva","BOU",2,50,"0.4",2647,1643,13,450,5
573,"Sanchez","BOU",2,44,"0.2",113,290,0,0,0
608,"Jebbison","BOU",4,50,"0.1",614,612,3,31,0
615,"Di Gregorio","BOU",1,45,"0.0",133,130,0,0,0
82,"Kelleher","BRE",1,50,"6.2",14920,8185,20,450,5
83,"Valdimarsson","BRE",1,45,"0.1",194,227,0,0,0
84,"Collins","BRE",2,54,"1.0",75,6601,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",25,207,0,0,0
86,"Lewis-Potter","BRE",3,55,"1.7",2804,9126,22,406,5
87,"Ajer","BRE",2,45,"3.9",8308,15748,21,450,5
88,"Kayode","BRE",2,46,"7.7",10071,14483,23,294,4
89,"Henry","BRE",2,44,"0.2",119,407,1,2,0
90,"Hickey","BRE",2,45,"0.1",124,171,5,152,1
