element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"41.8",45102,8715,30,450,5
2,"Arrizabalaga","ARS",1,49,"0.1",32,56,0,0,0
3,"Meslier","ARS",1,49,"0.0",9,25,0,0,0
4,"Gabriel","ARS",2,80,"23.0",4715,17976,25,450,5
5,"J.Timber","ARS",2,65,"0.3",3024,806,1,104,1
6,"Saliba","ARS",2,59,"0.2",81,283,0,0,0
7,"Lewis-Skelly","ARS",3,54,"0.6",232,1462,9,271,4
8,"Calafiori","ARS",2,58,"50.7",19686,13726,29,416,5
9,"Hincapie","ARS",2,53,"0.9",298,1411,2,32,0
10,"White","ARS",2,55,"5.4",1709,18055,21,315,4
11,"Mosquera","ARS",2,53,"1.7",269,2528,12,168,2
12,"Saka","ARS",3,95,"13.3",27711,9614,32,416,5
13,"Rice","ARS",3,74,"12.3",2714,10768,20,411,5
14,"Eze","ARS",3,63,"1.0",445,1714,4,85,0
15,"Ødegaard","ARS",3,68,"20.0",21791,24698,29,377,5
16,"Madueke","ARS",3,62,"0.2",217,378,2,23,0
17,"Merino","ARS",3,58,"0.4",168,752,4,81,0
18,"Martinelli","ARS",3,63,"0.1",0,163,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",112,1014,5,89,0
20,"Dowman","ARS",3,53,"0.1",127,144,1,9,0
22,"Nwaneri","ARS",3,54,"0.0",0,13,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,13,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,6,0,0,0
25,"Gyökeres","ARS",4,71,"3.1",1431,4300,2,29,0
26,"Havertz","ARS",4,76,"8.5",18863,10117,19,437,5
27,"G.Jesus","ARS",4,59,"0.2",0,262,0,0,0
31,"Konsa","ARS",2,46,"19.4",38585,10241,12,281,3
452,"Bruno G.","ARS",3,67,"1.8",1226,1662,9,123,1
557,"Tzolis","ARS",3,63,"12.9",3050,60235,16,362,5
29,"M.Bizot","AVL",1,45,"0.1",18,319,1,90,1
30,"Digne","AVL",2,45,"0.0",0,64,0,0,0
32,"Cash","AVL",2,44,"5.0",824,7293,6,296,3
33,"Mings","AVL",2,45,"0.4",476,303,10,261,2
34,"Pau","AVL",2,45,"0.3",4,1031,3,187,3
35,"Bogarde","AVL",3,50,"0.1",42,109,1,16,0
36,"Maatsen","AVL",2,45,"0.5",10,1982,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",302,304,8,450,5
38,"A.García","AVL",2,40,"1.6",549,1493,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,132,0,0,0
41,"Buendía","AVL",3,59,"0.9",2583,1181,21,401,5
44,"Bailey","AVL",3,54,"0.1",0,148,0,0,0
45,"McGinn","AVL",3,54,"2.2",1637,2317,17,434,5
46,"Barkley","AVL",3,50,"0.3",167,479,10,308,4
47,"Kamara","AVL",3,50,"0.3",306,424,15,443,5
48,"Onana","AVL",3,49,"0.0",9,27,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,5,0,0,0
50,"Burrowes","AVL",3,45,"0.6",183,894,0,0,0
51,"George Hemmings","AVL",3,45,"1.2",890,3179,9,297,4
52,"Alysson","AVL",3,50,"0.1",37,220,8,87,0
53,"Manzambi","AVL",3,59,"0.2",10526,471,14,98,1
54,"Gomes","AVL",3,55,"0.0",97,39,2,129,2
55,"Watkins","AVL",4,78,"2.6",0,3267,0,0,0
56,"Abraham","AVL",4,55,"0.2",507,420,4,71,0
160,"Garnacho","AVL",3,58,"0.3",149,749,3,31,0
166,"N.Jackson","AVL",4,65,"1.2",8786,1675,10,286,4
582,"Madjo","AVL",4,54,"0.2",44,514,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",157,97,5,113,1
597,"Suzuki","AVL",1,50,"1.8",4268,1621,16,360,4
606,"Rowe","AVL",2,40,"0.2",84,239,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,170,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",419,314,6,152,2
618,"Goretzka","AVL",3,59,"0.0",4,128,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",55,50,0,0,0
631,"Mbaye","AVL",3,60,"0.1",297,404,2,33,0
667,"Wright","AVL",1,40,"0.0",326,24,0,0,0
57,"Petrović","BOU",1,45,"3.0",1651,3013,7,360,4
58,"Forster","BOU",1,40,"3.5",2594,1457,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,156,0,0,0
60,"Hill","BOU",2,55,"0.8",603,771,8,360,4
61,"Truffert","BOU",2,55,"3.1",1285,2632,8,360,4
62,"Diakité","BOU",2,50,"0.2",166,208,0,0,0
63,"Milosavljević","BOU",2,49,"0.0",6,10,0,0,0
64,"Smith","BOU",2,45,"0.1",116,101,2,360,4
65,"J.Araujo","BOU",2,44,"0.0",9,13,0,0,0
66,"Soler","BOU",2,40,"0.3",223,237,0,0,0
67,"Rayan","BOU",3,63,"1.6",995,2379,8,347,4
68,"Tavernier","BOU",3,61,"6.6",30182,8181,29,350,4
69,"Scott","BOU",3,61,"5.8",6492,9264,28,356,4
70,"Kluivert","BOU",3,60,"1.0",1698,1401,15,294,4
71,"Cook","BOU",3,50,"0.2",76,285,7,165,2
72,"Gannon-Doak","BOU",3,49,"0.1",32,79,3,10,0
73,"Adams","BOU",3,50,"0.3",236,430,8,192,2
74,"Brooks","BOU",3,50,"0.1",39,79,2,30,0
75,"Christie","BOU",3,50,"0.0",56,52,3,28,0
76,"Tóth.A","BOU",3,49,"0.0",6,13,1,15,0
77,"Adli","BOU",3,49,"0.0",8,26,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",52,204,0,0,0
79,"Evanilson","BOU",4,60,"3.3",5473,3942,16,334,4
80,"Enes Ünal","BOU",4,55,"0.0",0,11,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",202,129,2,10,0
566,"Silva","BOU",2,50,"0.4",946,510,10,360,4
573,"Sanchez","BOU",2,44,"0.2",41,80,0,0,0
608,"Jebbison","BOU",4,50,"0.1",216,204,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",57,41,0,0,0
82,"Kelleher","BRE",1,50,"6.1",7040,2865,20,450,5
83,"Valdimarsson","BRE",1,45,"0.1",74,88,0,0,0
84,"Collins","BRE",2,54,"1.0",36,2739,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",13,76,0,0,0
86,"Lewis-Potter","BRE",3,55,"1.7",1238,4210,22,406,5
87,"Ajer","BRE",2,45,"4.0",4170,5720,21,450,5
88,"Kayode","BRE",2,46,"7.7",4904,5582,23,294,4
89,"Henry","BRE",2,44,"0.2",50,163,1,2,0
90,"Hickey","BRE",2,45,"0.1",47,60,5,152,1
92,"Ji-soo","BRE",2,44,"0.0",25,28,0,0,0
93,"Schuster","BRE",2,45,"0.2",8218,433,21,253,2
94,"Schade","BRE",3,61,"8.6",108696,4716,39,447,5
95,"O.Dango","BRE",3,63,"0.5",206,1236,7,179,2
96,"Damsgaard","BRE",3,54,"0.4",487,612,16,283,3
97,"Jensen","BRE",3,54,"0.1",6,173,6,66,1
98,"Janelt","BRE",3,50,"2.5",6998,5707,28,450,5
99,"Milambo","BRE",3,50,"0.0",2,3,0,0,0
100,"Carvalho","BRE",3,50,"0.0",238,46,6,3,0
102,"Yarmoliuk","BRE",3,48,"0.7",365,893,9,216,2
103,"Dasilva","BRE",3,49,"0.0",2,25,0,0,0
105,"Anthony","BRE",3,59,"0.1",792,148,15,267,3
106,"Thiago","BRE",4,78,"9.0",17372,8902,10,442,5
107,"Furo","BRE",4,45,"0.9",187,2742,0,0,0
108,"Wilson","BRE",4,54,"0.3",329,716,3,13,0
565,"M.Sangaré","BRE",3,56,"10.7",2324,62026,22,321,4
620,"Diouf","BRE",2,45,"0.1",139,223,2,39,0
657,"Nunes","BRE",3,45,"0.0",91,63,0,0,0
660,"Fredrick","BRE",2,40,"0.0",135,14,0,0,0
661,"Balcombe","BRE",1,40,"0.0",1276,121,0,0,0
109,"Verbruggen","BHA",1,45,"21.7",18599,19426,23,450,5
111,"Steele","BHA",1,40,"4.2",2464,4217,0,0,0
113,"F.Kadıoğlu","BHA",2,44,"1.6",1072,2201,13,332,4
114,"Boscagli","BHA",2,45,"0.3",531,191,19,437,5
115,"De Cuyper","BHA",2,49,"25.8",81856,4598,38,423,5
116,"Dunk","BHA",2,45,"1.5",3038,1774,22,360,4
117,"Coppola","BHA",2,45,"0.0",19,23,0,0,0
118,"Igor","BHA",2,45,"0.0",0,90,0,0,0
119,"Costinha","BHA",2,45,"0.0",32,35,4,68,0
120,"Svoboda","BHA",2,50,"0.1",228,115,1,4,0
121,"Mitoma","BHA",3,59,"0.0",27,44,0,0,0
122,"Minteh","BHA",3,58,"0.0",9,64,0,0,0
123,"Hinshelwood","BHA",3,59,"0.6",58,2235,16,63,1
124,"Groß","BHA",3,58,"24.0",294602,3413,47,450,5
125,"Georginio","BHA",4,53,"0.5",522,1239,6,104,1
126,"O'Riley","BHA",3,54,"0.1",87,133,2,10,0
127,"Gomez","BHA",3,50,"4.1",2450,14593,24,433,5
128,"Buonanotte","BHA",3,50,"0.0",0,2,0,0,0
129,"Ayari","BHA",3,54,"0.4",465,602,15,333,4
130,"Wieffer","BHA",2,49,"0.2",9,537,7,156,2
132,"Howell","BHA",3,45,"0.0",0,65,0,0,0
133,"Watson","BHA",3,50,"0.0",0,1,0,0,0
134,"Oriola","BHA",3,45,"0.2",70,363,0,0,0
135,"Yohanna","BHA",3,49,"0.0",2,123,1,12,0
137,"Tzimas","BHA",4,54,"0.0",11,12,0,0,0
138,"Kostoulas","BHA",4,55,"1.7",79316,1689,28,353,4
139,"Ferguson","BHA",4,50,"0.0",27,69,0,0,0
328,"Struijk","BHA",2,49,"0.2",164,142,7,98,1
504,"Vuskovic","BHA",2,50,"3.3",13247,2793,32,437,5
594,"David","BHA",4,59,"0.2",605,576,1,23,0
600,"Osman","BHA",3,50,"0.0",18,30,3,40,0
605,"Yalcouyé","BHA",3,45,"4.0",8183,11744,20,236,3
614,"Hadjam","BHA",2,45,"0.0",92,71,0,0,0
624,"Cozier-Duberry","BHA",3,50,"0.0",0,0,0,0,0
639,"Andrés","BHA",3,55,"0.0",555,50,12,109,1
652,"Azeez","BHA",3,55,"0.0",5,16,0,0,0
658,"Ibrahim","BHA",3,45,"0.0",80,49,0,0,0
28,"Martinez","CHE",1,50,"4.8",1732,6956,9,360,4
40,"Rogers","CHE",3,77,"40.1",38882,17329,29,437,5
101,"Henderson","CHE",3,49,"0.0",127,35,2,90,1
136,"Welbeck","CHE",4,59,"1.0",3059,2609,4,85,1
140,"Sánchez","CHE",1,49,"0.7",0,1363,2,90,1
141,"Jörgensen","CHE",1,50,"0.0",0,12,0,0,0
142,"James","CHE",2,54,"6.3",167,25485,3,292,3
143,"Chalobah","CHE",2,55,"0.1",0,73,0,0,0
144,"Gusto","CHE",2,50,"1.0",466,2150,4,272,3
145,"Fofana","CHE",2,50,"0.2",626,322,8,312,4
146,"B.Badiashile","CHE",2,45,"0.0",0,13,0,0,0
148,"Hato","CHE",2,45,"0.9",216,2766,8,258,4
149,"Colwill","CHE",2,48,"0.9",291,1838,3,341,4
150,"M.Sarr","CHE",2,45,"0.0",0,49,0,0,0
151,"Acheampong","CHE",2,45,"0.4",126,556,5,221,2
152,"Palestra","CHE",2,53,"0.6",41,1145,0,0,0
154,"Palmer","CHE",3,97,"26.8",13530,31872,28,442,5
156,"Neto","CHE",3,65,"1.4",1149,2895,14,332,4
157,"Estêvão","CHE",3,63,"0.7",384,1150,4,23,0
158,"Gittens","CHE",3,59,"0.0",39,49,0,0,0
159,"Caicedo","CHE",3,53,"1.1",100,2655,1,13,0
161,"Lavia","CHE",3,50,"0.2",113,836,11,258,4
163,"D.Essugo","CHE",3,45,"0.1",0,199,0,0,0
