element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"38.9",144842,119550,15,270,3
2,"Arrizabalaga","ARS",1,49,"0.1",219,590,0,0,0
3,"Meslier","ARS",1,49,"0.0",83,212,0,0,0
4,"Gabriel","ARS",2,80,"24.6",34347,147615,15,270,3
5,"J.Timber","ARS",2,65,"0.1",484,1015,0,0,0
6,"Saliba","ARS",2,59,"0.2",616,2602,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",4898,6687,8,226,3
8,"Calafiori","ARS",2,57,"47.9",294700,53724,22,236,3
9,"Hincapie","ARS",2,53,"1.1",2585,12740,2,32,0
10,"White","ARS",2,55,"7.6",75462,68859,20,270,3
11,"Mosquera","ARS",2,54,"3.3",612,106539,12,168,2
12,"Saka","ARS",3,95,"11.4",124608,80610,22,246,3
13,"Rice","ARS",3,74,"13.5",17223,88619,13,241,3
14,"Eze","ARS",3,64,"1.3",2848,19501,2,59,0
15,"Ødegaard","ARS",3,66,"14.4",346199,65930,24,221,3
16,"Madueke","ARS",3,63,"0.2",1142,2942,2,23,0
17,"Merino","ARS",3,59,"0.5",1389,7143,2,46,0
18,"Martinelli","ARS",3,63,"0.1",0,4994,0,0,0
19,"Zubimendi","ARS",3,54,"0.7",1175,8043,3,50,0
20,"Dowman","ARS",3,53,"0.1",434,923,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,263,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,214,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,76,0,0,0
25,"Gyökeres","ARS",4,73,"4.0",4541,60283,1,12,0
26,"Havertz","ARS",4,75,"7.6",117019,45857,16,257,3
27,"G.Jesus","ARS",4,59,"0.2",0,6274,0,0,0
31,"Konsa","ARS",2,44,"13.7",331532,60657,5,101,1
452,"Bruno G.","ARS",3,68,"1.8",1495,24735,1,19,0
557,"Tzolis","ARS",3,64,"17.2",46926,237741,11,210,3
29,"M.Bizot","AVL",1,45,"0.1",653,1046,1,90,1
30,"Digne","AVL",2,45,"0.1",0,677,0,0,0
32,"Cash","AVL",2,45,"6.7",17418,34125,7,251,3
33,"Mings","AVL",2,45,"0.4",2164,1446,7,106,1
34,"Pau","AVL",2,45,"0.4",1311,3466,2,163,2
35,"Bogarde","AVL",3,50,"0.1",472,765,1,16,0
36,"Maatsen","AVL",2,45,"0.8",6654,3669,8,245,3
37,"Lindelöf","AVL",2,45,"0.3",2025,1220,6,270,3
38,"A.García","AVL",2,40,"1.7",8400,11195,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.2",0,1463,0,0,0
41,"Buendía","AVL",3,59,"1.0",6543,13129,7,249,3
44,"Bailey","AVL",3,54,"0.1",0,3530,0,0,0
45,"McGinn","AVL",3,54,"2.3",9177,19848,5,261,3
46,"Barkley","AVL",3,50,"0.3",3024,2192,7,240,3
47,"Kamara","AVL",3,50,"0.3",2381,2951,7,270,3
48,"Onana","AVL",3,50,"0.0",73,191,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,16,0,0,0
50,"Burrowes","AVL",3,45,"0.7",4860,5434,0,0,0
51,"George Hemmings","AVL",3,45,"1.2",30010,12705,7,234,3
52,"Alysson","AVL",3,50,"0.0",320,449,2,42,0
53,"Manzambi","AVL",3,59,"0.1",290,1309,0,0,0
54,"Gomes","AVL",3,55,"0.0",81,360,-2,39,1
55,"Watkins","AVL",4,78,"3.3",0,92392,0,0,0
56,"Abraham","AVL",4,55,"0.2",2861,1789,2,24,0
160,"Garnacho","AVL",3,59,"0.4",1074,5690,3,31,0
166,"N.Jackson","AVL",4,65,"1.1",20656,11045,4,154,2
582,"Madjo","AVL",4,55,"0.3",260,3543,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",163,755,2,23,0
597,"Suzuki","AVL",1,50,"1.6",45670,9500,12,180,2
606,"Rowe","AVL",2,40,"0.2",1936,1214,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,2347,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",1905,1441,2,17,0
618,"Goretzka","AVL",3,60,"0.0",873,1249,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",447,174,0,0,0
631,"Mbaye","AVL",3,60,"0.1",2107,927,0,0,0
57,"Petrović","BOU",1,45,"3.3",16422,21119,6,270,3
58,"Forster","BOU",1,40,"3.4",21004,11776,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,1056,0,0,0
60,"Hill","BOU",2,55,"0.8",4213,6288,6,270,3
61,"Truffert","BOU",2,55,"3.5",6367,28950,5,270,3
62,"Diakité","BOU",2,50,"0.2",832,1898,0,0,0
63,"Milosavljević","BOU",2,50,"0.0",49,113,0,0,0
64,"Smith","BOU",2,45,"0.1",763,1070,2,270,3
65,"J.Araujo","BOU",2,44,"0.0",74,168,0,0,0
66,"Soler","BOU",2,40,"0.3",2597,1773,0,0,0
67,"Rayan","BOU",3,64,"2.0",4756,26344,6,266,3
68,"Tavernier","BOU",3,60,"3.2",100436,26519,21,268,3
69,"Scott","BOU",3,60,"4.6",229945,30673,24,266,3
70,"Kluivert","BOU",3,60,"1.0",4901,12647,7,229,3
71,"Cook","BOU",3,50,"0.2",1431,2186,7,157,2
72,"Gannon-Doak","BOU",3,49,"0.1",246,670,2,2,0
73,"Adams","BOU",3,50,"0.3",3737,2322,6,111,1
74,"Brooks","BOU",3,50,"0.1",457,515,2,23,0
75,"Christie","BOU",3,50,"0.0",585,346,2,4,0
76,"Tóth.A","BOU",3,50,"0.0",53,140,1,15,0
77,"Adli","BOU",3,49,"0.0",37,216,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",136,2380,0,0,0
79,"Evanilson","BOU",4,60,"3.2",28734,27450,11,244,3
80,"Enes Ünal","BOU",4,55,"0.0",0,164,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",873,1137,1,9,0
566,"Silva","BOU",2,50,"0.4",2701,3477,7,270,3
573,"Sanchez","BOU",2,45,"0.2",166,1016,0,0,0
608,"Jebbison","BOU",4,50,"0.1",2229,1184,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",505,358,0,0,0
82,"Kelleher","BRE",1,50,"6.7",21506,33946,11,270,3
83,"Valdimarsson","BRE",1,45,"0.1",384,640,0,0,0
84,"Collins","BRE",2,55,"1.7",1182,44233,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",50,897,0,0,0
86,"Lewis-Potter","BRE",3,55,"2.2",16993,18916,18,267,3
87,"Ajer","BRE",2,45,"4.9",30865,55152,13,270,3
88,"Kayode","BRE",2,46,"9.0",30394,69644,16,207,3
89,"Henry","BRE",2,45,"0.2",199,1219,1,2,0
