element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"40.8",192891,37660,29,360,4
2,"Arrizabalaga","ARS",1,49,"0.1",129,418,0,0,0
3,"Meslier","ARS",1,49,"0.0",57,152,0,0,0
4,"Gabriel","ARS",2,80,"23.4",32022,73516,24,360,4
5,"J.Timber","ARS",2,65,"0.2",13218,2340,1,45,0
6,"Saliba","ARS",2,59,"0.2",334,1619,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.6",2376,7742,9,271,4
8,"Calafiori","ARS",2,58,"50.2",183195,48014,28,326,4
9,"Hincapie","ARS",2,53,"0.9",1948,11998,2,32,0
10,"White","ARS",2,55,"6.3",17625,147921,21,315,4
11,"Mosquera","ARS",2,53,"1.9",138,59715,12,168,2
12,"Saka","ARS",3,95,"12.4",123792,39331,30,336,4
13,"Rice","ARS",3,74,"12.6",19811,55460,19,321,4
14,"Eze","ARS",3,63,"1.1",2260,13128,3,68,0
15,"Ødegaard","ARS",3,67,"19.5",216953,80361,27,305,4
16,"Madueke","ARS",3,62,"0.2",801,2743,2,23,0
17,"Merino","ARS",3,58,"0.4",1004,4950,3,51,0
18,"Martinelli","ARS",3,63,"0.1",0,1171,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",1128,6631,4,59,0
20,"Dowman","ARS",3,53,"0.1",645,823,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,89,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,69,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,46,0,0,0
25,"Gyökeres","ARS",4,72,"3.3",2766,39604,1,12,0
26,"Havertz","ARS",4,76,"7.9",61071,67648,17,347,4
27,"G.Jesus","ARS",4,59,"0.2",0,1807,0,0,0
31,"Konsa","ARS",2,45,"18.3",218206,38600,11,191,2
452,"Bruno G.","ARS",3,67,"1.8",12052,6710,8,64,0
557,"Tzolis","ARS",3,64,"14.4",25245,177293,14,290,4
29,"M.Bizot","AVL",1,45,"0.1",363,866,1,90,1
30,"Digne","AVL",2,45,"0.1",0,329,0,0,0
32,"Cash","AVL",2,44,"5.2",1012,89792,7,251,3
33,"Mings","AVL",2,45,"0.4",2071,3361,7,171,1
34,"Pau","AVL",2,45,"0.4",213,5669,3,187,3
35,"Bogarde","AVL",3,50,"0.1",375,704,1,16,0
36,"Maatsen","AVL",2,45,"0.7",517,18187,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",2053,2246,7,360,4
38,"A.García","AVL",2,40,"1.6",5384,9764,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,868,0,0,0
41,"Buendía","AVL",3,59,"0.9",3436,13748,9,311,4
44,"Bailey","AVL",3,54,"0.1",0,1212,0,0,0
45,"McGinn","AVL",3,54,"2.3",11478,14479,11,351,4
46,"Barkley","AVL",3,50,"0.3",1571,2559,9,302,4
47,"Kamara","AVL",3,50,"0.3",1414,3209,9,360,4
48,"Onana","AVL",3,49,"0.0",41,155,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,18,0,0,0
50,"Burrowes","AVL",3,45,"0.6",1514,4994,0,0,0
51,"George Hemmings","AVL",3,45,"1.3",9869,10765,8,279,4
52,"Alysson","AVL",3,50,"0.1",1127,400,8,87,0
53,"Manzambi","AVL",3,59,"0.1",1289,724,1,27,0
54,"Gomes","AVL",3,55,"0.0",375,202,-2,39,1
55,"Watkins","AVL",4,78,"2.7",0,25479,0,0,0
56,"Abraham","AVL",4,55,"0.2",1807,1880,3,69,0
160,"Garnacho","AVL",3,58,"0.3",616,5178,3,31,0
166,"N.Jackson","AVL",4,65,"1.2",9342,22252,4,199,3
582,"Madjo","AVL",4,54,"0.2",193,2922,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",377,821,2,23,0
597,"Suzuki","AVL",1,50,"1.8",10606,11772,14,270,3
606,"Rowe","AVL",2,40,"0.2",1340,1195,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,1074,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",3197,1448,5,107,1
618,"Goretzka","AVL",3,59,"0.0",34,1129,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",223,260,0,0,0
631,"Mbaye","AVL",3,60,"0.1",1548,946,1,27,0
57,"Petrović","BOU",1,45,"3.1",4481,16744,7,360,4
58,"Forster","BOU",1,40,"3.5",14604,9680,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,712,0,0,0
60,"Hill","BOU",2,55,"0.8",2238,7002,8,360,4
61,"Truffert","BOU",2,55,"3.2",4126,21089,8,360,4
62,"Diakité","BOU",2,50,"0.2",680,1660,0,0,0
63,"Milosavljević","BOU",2,49,"0.0",42,67,0,0,0
64,"Smith","BOU",2,45,"0.1",569,1294,2,360,4
65,"J.Araujo","BOU",2,44,"0.0",55,114,0,0,0
66,"Soler","BOU",2,40,"0.3",1691,1686,0,0,0
67,"Rayan","BOU",3,64,"1.7",2602,23940,8,347,4
68,"Tavernier","BOU",3,61,"5.7",214366,32749,29,350,4
69,"Scott","BOU",3,61,"5.9",52404,50383,28,356,4
70,"Kluivert","BOU",3,60,"1.0",8940,6390,15,294,4
71,"Cook","BOU",3,50,"0.2",586,2579,7,165,2
72,"Gannon-Doak","BOU",3,49,"0.1",221,547,3,10,0
73,"Adams","BOU",3,50,"0.3",2207,2823,8,192,2
74,"Brooks","BOU",3,50,"0.1",334,620,2,30,0
75,"Christie","BOU",3,50,"0.0",399,436,3,28,0
76,"Tóth.A","BOU",3,49,"0.0",36,94,1,15,0
77,"Adli","BOU",3,49,"0.0",18,163,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",96,1294,0,0,0
79,"Evanilson","BOU",4,60,"3.3",28675,27886,16,334,4
80,"Enes Ünal","BOU",4,55,"0.0",0,85,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",567,947,2,10,0
566,"Silva","BOU",2,50,"0.4",1363,3528,10,360,4
573,"Sanchez","BOU",2,44,"0.2",216,887,0,0,0
608,"Jebbison","BOU",4,50,"0.1",1398,1417,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",258,397,0,0,0
82,"Kelleher","BRE",1,50,"6.2",6513,41440,14,360,4
83,"Valdimarsson","BRE",1,45,"0.1",213,584,0,0,0
84,"Collins","BRE",2,54,"1.2",83,26849,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",23,548,0,0,0
86,"Lewis-Potter","BRE",3,55,"1.9",4132,27894,19,326,4
87,"Ajer","BRE",2,45,"4.3",6383,39600,14,360,4
88,"Kayode","BRE",2,46,"8.0",13311,93183,17,226,3
89,"Henry","BRE",2,44,"0.2",291,1119,1,2,0
90,"Hickey","BRE",2,45,"0.1",226,424,4,131,1
92,"Ji-soo","BRE",2,45,"0.0",48,116,0,0,0
93,"Schuster","BRE",2,45,"0.1",219,515,7,163,1
94,"Schade","BRE",3,61,"6.5",281169,32440,30,357,4
95,"O.Dango","BRE",3,63,"0.5",527,8947,6,170,2
96,"Damsgaard","BRE",3,55,"0.4",908,4999,13,197,2
97,"Jensen","BRE",3,54,"0.1",11,1173,6,66,1
98,"Janelt","BRE",3,50,"2.5",29254,20986,25,360,4
99,"Milambo","BRE",3,50,"0.0",11,20,0,0,0
100,"Carvalho","BRE",3,50,"0.0",176,243,0,0,0
102,"Yarmoliuk","BRE",3,48,"0.7",1070,5633,6,148,1
103,"Dasilva","BRE",3,49,"0.0",5,191,0,0,0
105,"Anthony","BRE",3,59,"0.1",378,1427,5,187,2
106,"Thiago","BRE",4,79,"9.3",8886,143994,5,352,4
107,"Furo","BRE",4,45,"1.0",5893,12794,0,0,0
108,"Wilson","BRE",4,55,"0.3",1040,4147,3,13,0
565,"M.Sangaré","BRE",3,57,"11.8",19724,128065,22,300,4
620,"Diouf","BRE",2,45,"0.1",787,1203,1,30,0
657,"Nunes","BRE",3,45,"0.0",1460,324,0,0,0
109,"Verbruggen","BHA",1,45,"21.8",57802,81185,17,360,4
111,"Steele","BHA",1,40,"4.2",12394,13596,0,0,0
113,"F.Kadıoğlu","BHA",2,44,"1.7",2995,10619,8,257,3
114,"Boscagli","BHA",2,45,"0.3",926,1516,13,347,4
115,"De Cuyper","BHA",2,49,"24.1",285012,70483,32,333,4
116,"Dunk","BHA",2,45,"1.5",19507,6913,22,360,4
117,"Coppola","BHA",2,45,"0.0",143,164,0,0,0
118,"Igor","BHA",2,45,"0.0",0,625,0,0,0
119,"Costinha","BHA",2,45,"0.0",142,206,3,54,0
120,"Svoboda","BHA",2,50,"0.1",492,701,0,0,0
121,"Mitoma","BHA",3,59,"0.0",46,221,0,0,0
122,"Minteh","BHA",3,59,"0.0",21,363,0,0,0
123,"Hinshelwood","BHA",3,59,"0.7",96,19717,16,63,1
124,"Groß","BHA",3,57,"19.5",390128,59072,33,360,4
125,"Georginio","BHA",4,54,"0.5",1126,8281,5,90,1
126,"O'Riley","BHA",3,54,"0.1",423,909,1,6,0
127,"Gomez","BHA",3,50,"4.5",9089,45573,16,348,4
128,"Buonanotte","BHA",3,50,"0.0",0,13,0,0,0
129,"Ayari","BHA",3,54,"0.4",2410,2661,12,243,3
130,"Wieffer","BHA",2,49,"0.2",40,5008,7,156,2
132,"Howell","BHA",3,45,"0.0",0,295,0,0,0
133,"Watson","BHA",3,50,"0.0",0,6,0,0,0
134,"Oriola","BHA",3,45,"0.3",717,2005,0,0,0
135,"Yohanna","BHA",3,49,"0.0",23,830,1,12,0
137,"Tzimas","BHA",4,54,"0.0",40,62,0,0,0
138,"Kostoulas","BHA",4,55,"0.8",31367,8448,18,278,3
139,"Ferguson","BHA",4,50,"0.0",179,290,0,0,0
328,"Struijk","BHA",2,49,"0.2",457,1751,2,13,0
504,"Vuskovic","BHA",2,50,"3.2",20058,20988,24,347,4
594,"David","BHA",4,60,"0.2",1401,3463,1,23,0
600,"Osman","BHA",3,50,"0.0",112,156,3,40,0
605,"Yalcouyé","BHA",3,45,"3.8",83130,25400,19,231,3
614,"Hadjam","BHA",2,45,"0.0",272,508,0,0,0
624,"Cozier-Duberry","BHA",3,50,"0.0",0,9,0,0,0
639,"Andrés","BHA",3,55,"0.0",328,160,4,25,0
652,"Azeez","BHA",3,55,"0.0",49,35,0,0,0
658,"Ibrahim","BHA",3,45,"0.0",929,183,0,0,0
28,"Martinez","CHE",1,50,"4.9",14307,38451,7,270,3
40,"Rogers","CHE",3,77,"38.2",456935,37007,27,347,4
101,"Henderson","CHE",3,49,"0.0",27,326,0,0,0
136,"Welbeck","CHE",4,59,"0.8",5333,8162,2,15,0
140,"Sánchez","CHE",1,49,"0.8",0,10538,2,90,1
141,"Jörgensen","CHE",1,50,"0.0",0,42,0,0,0
142,"James","CHE",2,54,"7.1",14451,76290,3,292,3
143,"Chalobah","CHE",2,55,"0.1",0,534,0,0,0
144,"Gusto","CHE",2,50,"1.0",2958,9991,4,272,3
145,"Fofana","CHE",2,50,"0.2",2159,2268,4,242,3
146,"B.Badiashile","CHE",2,45,"0.0",0,98,0,0,0
148,"Hato","CHE",2,45,"0.9",3360,14014,8,258,4
149,"Colwill","CHE",2,49,"1.0",1349,12792,2,251,3
150,"M.Sarr","CHE",2,45,"0.0",0,307,0,0,0
151,"Acheampong","CHE",2,45,"0.4",1018,4214,5,202,2
152,"Palestra","CHE",2,53,"0.7",136,13653,0,0,0
154,"Palmer","CHE",3,97,"26.8",110890,104391,26,352,4
156,"Neto","CHE",3,65,"1.4",9517,14720,12,246,3
157,"Estêvão","CHE",3,63,"0.7",2005,7609,3,20,0
158,"Gittens","CHE",3,59,"0.0",133,312,0,0,0
159,"Caicedo","CHE",3,53,"1.2",448,23084,1,13,0
161,"Lavia","CHE",3,50,"0.2",1909,3091,11,258,4
163,"D.Essugo","CHE",3,45,"0.1",0,1435,0,0,0
164,"Quenda","CHE",3,53,"0.0",112,397,1,8,0
165,"João Pedro","CHE",4,78,"74.8",220995,79093,33,360,4
168,"Marc Guiu","CHE",4,50,"0.2",0,2708,0,0,0
169,"Mheuka","CHE",4,45,"0.4",5383,3971,0,0,0
170,"Emegha","CHE",4,50,"0.1",91,2143,0,0,0
200,"Lacroix","CHE",2,60,"7.3",6102,84032,10,274,3
560,"Penders","CHE",1,44,"0.1",516,462,0,0,0
561,"Anselmino","CHE",2,45,"0.0",150,156,0,0,0
568,"Barco","CHE",3,54,"0.1",347,968,1,29,0
583,"Chavarria","CHE",2,49,"0.2",309,1153,4,118,0
91,"Pinnock","COV",2,45,"0.1",279,457,6,192,2
104,"Onyeka","COV",3,49,"0.1",211,1076,6,224,3
110,"Rushworth","COV",1,45,"0.8",676,8002,5,360,4
171,"Dovin","COV",1,40,"1.1",0,6923,0,0,0
172,"Wilson","COV",1,44,"0.4",195,1210,0,0,0
173,"Thomas","COV",2,40,"8.8",21223,46907,15,347,4
174,"Kitching","COV",2,40,"0.4",0,3385,0,0,0
175,"van Ewijk","COV",2,40,"9.9",9931,70488,6,360,4
176,"Dasilva","COV",2,40,"0.7",586,3048,5,354,4
177,"Kesler-Hayden","COV",2,40,"0.0",89,305,0,0,0
178,"Bidwell","COV",2,40,"0.1",305,464,0,0,0
179,"Latibeaudiere","COV",2,40,"0.0",104,216,0,0,0
180,"Woolfenden","COV",2,40,"0.1",154,820,0,0,0
181,"Brau","COV",2,40,"0.0",0,181,0,0,0
182,"Amenda","COV",2,40,"0.7",1343,3447,4,360,4
183,"Rudoni","COV",3,50,"0.1",302,976,8,224,3
184,"Grimes","COV",3,49,"0.1",425,1337,8,353,4
185,"Sakamoto","COV",3,49,"0.1",64,612,1,31,0
186,"Mason-Clark","COV",3,54,"0.1",69,574,4,186,3
187,"Eccles","COV",3,49,"0.0",11,227,0,0,0
188,"Torp","COV",3,54,"0.1",26,714,3,53,0
189,"Shepherd","COV",3,45,"0.2",332,1695,0,0,0
190,"Tchaouna","COV",3,54,"0.1",23,671,4,166,2
191,"Borges Rodrigues","COV",3,45,"0.1",0,1249,0,0,0
192,"Andrews","COV",3,45,"0.3",0,3600,0,0,0
193,"Wright","COV",4,54,"0.1",58,855,0,0,0
194,"Thomas-Asante","COV",4,50,"0.8",5587,7967,5,137,1
195,"Simms","COV",4,50,"0.7",1920,7706,3,88,1
196,"Markelo","COV",4,50,"0.0",0,82,0,0,0
197,"Bassette","COV",4,45,"0.0",0,198,0,0,0
492,"Awoniyi","COV",4,55,"0.5",522,13073,3,232,3
575,"Yirenkyi","COV",3,49,"0.2",186,1641,6,175,2
584,"Hamer","COV",3,54,"0.1",52,640,3,32,0
599,"Cherif","COV",4,50,"0.1",1013,923,1,30,0
623,"Bentley","COV",1,40,"0.6",7951,1693,0,0,0
655,"Gboho","COV",3,55,"0.0",80,27,0,0,0
656,"Mfuni","COV",2,40,"0.1",4929,1131,0,0,0
42,"Guessand","CRY",3,55,"0.0",227,578,2,54,0
153,"Disasi","CRY",2,45,"0.1",110,3210,1,139,2
198,"Henderson","CRY",1,50,"1.6",169,41760,5,270,3
199,"Benitez","CRY",1,45,"0.1",867,538,2,90,1
202,"Richards","CRY",2,50,"0.6",1306,5653,6,360,4
203,"Canvot","CRY",2,49,"0.2",185,2821,2,270,3
204,"Mitchell","CRY",2,45,"6.3",15975,43407,17,329,4
205,"Sosa","CRY",2,45,"0.0",0,205,0,0,0
206,"Chadi Riad","CRY",2,44,"0.0",34,266,1,72,1
207,"Mingueza","CRY",2,44,"0.1",188,651,2,16,0
208,"Sarr","CRY",3,62,"0.6",72,9412,0,0,0
210,"Wharton","CRY",3,55,"0.8",1954,8012,10,346,4
211,"Yeremy","CRY",3,55,"0.4",1091,7550,12,226,3
212,"Hughes","CRY",3,44,"8.0",16267,61176,2,29,0
213,"Lerma","CRY",3,49,"0.1",125,522,1,6,0
214,"Kamada","CRY",3,50,"0.5",14769,4344,18,351,4
215,"Devenny","CRY",3,50,"0.0",0,77,0,0,0
216,"Esse","CRY",3,50,"0.0",0,298,0,0,0
217,"M.França","CRY",3,49,"0.0",0,477,0,0,0
218,"Doucouré","CRY",3,49,"0.1",189,575,0,0,0
219,"J.Rak-Sakyi","CRY",3,49,"0.0",0,82,0,0,0
220,"Cardines","CRY",2,45,"0.0",0,6,0,0,0
221,"Drakes-Thomas","CRY",3,45,"0.1",246,659,0,0,0
222,"Strand Larsen","CRY",4,60,"0.6",9034,5734,12,217,2
223,"Mateta","CRY",4,63,"1.5",140,19124,2,62,1
224,"Nketiah","CRY",4,55,"0.6",263,16171,7,167,3
225,"Uche","CRY",4,50,"0.0",0,0,0,0,0
241,"McNeil","CRY",3,54,"0.1",125,971,3,84,1
555,"Matthews","CRY",1,40,"1.7",2328,4064,0,0,0
577,"Tomiyasu","CRY",2,44,"0.3",296,1897,2,144,1
588,"Khalaili","CRY",2,50,"0.3",4288,2952,13,289,3
