element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"38.3",26187,23797,6,90,1
2,"Arrizabalaga","ARS",1,50,"0.1",108,188,0,0,0
3,"Meslier","ARS",1,50,"0.0",22,63,0,0,0
4,"Gabriel","ARS",2,80,"28.6",8797,42292,5,90,1
5,"J.Timber","ARS",2,65,"0.1",119,565,0,0,0
6,"Saliba","ARS",2,60,"0.3",349,1388,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",1418,1713,3,90,1
8,"Calafiori","ARS",2,56,"41.7",39348,14632,9,80,1
9,"Hincapie","ARS",2,54,"1.5",1193,3856,1,9,0
10,"White","ARS",2,55,"6.9",19144,13739,11,90,1
11,"Mosquera","ARS",2,55,"5.6",2279,11335,6,90,1
12,"Saka","ARS",3,95,"10.3",7815,12401,9,67,1
13,"Rice","ARS",3,75,"16.5",4332,33096,3,67,1
14,"Eze","ARS",3,64,"1.7",1730,5435,1,14,0
15,"Ødegaard","ARS",3,66,"11.9",23180,12297,11,75,1
16,"Madueke","ARS",3,64,"0.3",381,933,1,22,0
17,"Merino","ARS",3,59,"0.6",765,2435,1,14,0
18,"Martinelli","ARS",3,64,"0.2",315,802,0,0,0
19,"Zubimendi","ARS",3,54,"0.9",817,2735,1,22,0
20,"Dowman","ARS",3,54,"0.1",195,347,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",38,59,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",40,39,0,0,0
24,"Nelson","ARS",3,55,"0.0",4,86,0,0,0
25,"Gyökeres","ARS",4,74,"6.4",1797,20189,0,0,0
26,"Havertz","ARS",4,75,"7.5",14022,14142,6,90,1
27,"G.Jesus","ARS",4,60,"0.3",862,1187,0,0,0
31,"Konsa","ARS",2,45,"10.6",18497,28563,0,0,0
452,"Bruno G.","ARS",3,69,"2.5",252,14648,0,0,0
557,"Tzolis","ARS",3,65,"26.0",33653,21835,6,75,1
29,"M.Bizot","AVL",1,45,"0.1",402,236,1,90,1
30,"Digne","AVL",2,45,"0.1",0,544,0,0,0
32,"Cash","AVL",2,45,"7.4",3624,11266,-1,90,1
33,"Mings","AVL",2,45,"0.4",500,514,1,16,0
34,"Pau","AVL",2,45,"0.4",312,599,0,73,1
35,"Bogarde","AVL",3,50,"0.1",143,182,1,16,0
36,"Maatsen","AVL",2,45,"0.7",555,1109,0,81,1
37,"Lindelöf","AVL",2,45,"0.3",289,456,-2,90,1
38,"A.García","AVL",2,40,"1.7",2151,2245,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.2",0,911,0,0,0
41,"Buendía","AVL",3,60,"1.2",1704,3486,2,85,1
44,"Bailey","AVL",3,55,"0.1",262,481,0,0,0
45,"McGinn","AVL",3,55,"2.7",2254,6202,1,81,1
46,"Barkley","AVL",3,50,"0.2",576,530,2,73,1
47,"Kamara","AVL",3,50,"0.3",717,899,2,90,1
48,"Onana","AVL",3,50,"0.0",37,122,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,14,0,0,0
50,"Burrowes","AVL",3,45,"0.7",1261,1257,0,0,0
51,"George Hemmings","AVL",3,45,"0.8",3260,1400,2,90,1
52,"Alysson","AVL",3,50,"0.0",90,135,1,8,0
53,"Manzambi","AVL",3,59,"0.2",104,1314,0,0,0
54,"Gomes","AVL",3,55,"0.0",12,273,-2,39,1
55,"Watkins","AVL",4,79,"7.0",1507,40344,0,0,0
56,"Abraham","AVL",4,55,"0.1",96,560,0,0,0
160,"Garnacho","AVL",3,60,"0.5",496,1877,1,4,0
166,"N.Jackson","AVL",4,65,"0.5",12763,1871,0,0,0
582,"Madjo","AVL",4,55,"0.4",186,1914,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",176,174,1,8,0
597,"Suzuki","AVL",1,50,"0.9",1651,1273,0,0,0
606,"Rowe","AVL",2,40,"0.1",845,210,0,0,0
607,"Lynch","AVL",3,45,"0.1",736,332,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.1",1114,195,0,0,0
618,"Goretzka","AVL",3,60,"0.0",857,88,0,0,0
57,"Petrović","BOU",1,45,"3.4",6113,3814,5,180,2
58,"Forster","BOU",1,40,"3.2",3881,2384,0,0,0
59,"Dennis","BOU",1,40,"0.2",0,758,0,0,0
60,"Hill","BOU",2,55,"0.9",1335,1539,5,180,2
61,"Truffert","BOU",2,55,"4.1",2747,5126,5,180,2
62,"Diakité","BOU",2,50,"0.2",414,688,0,0,0
63,"Milosavljević","BOU",2,50,"0.0",19,51,0,0,0
64,"Smith","BOU",2,45,"0.1",303,277,2,180,2
65,"J.Araujo","BOU",2,45,"0.0",24,101,0,0,0
66,"Soler","BOU",2,40,"0.2",384,382,0,0,0
67,"Rayan","BOU",3,65,"2.7",2489,9304,4,178,2
68,"Tavernier","BOU",3,60,"2.5",8308,6262,11,180,2
69,"Scott","BOU",3,60,"1.6",9240,2639,14,176,2
70,"Kluivert","BOU",3,60,"1.2",2135,3427,6,154,2
71,"Cook","BOU",3,50,"0.2",1053,446,6,143,2
72,"Gannon-Doak","BOU",3,50,"0.1",86,259,1,1,0
73,"Adams","BOU",3,50,"0.2",1041,802,2,36,0
74,"Brooks","BOU",3,50,"0.1",194,157,1,9,0
75,"Christie","BOU",3,50,"0.0",182,88,1,3,0
76,"Tóth.A","BOU",3,50,"0.0",23,51,1,15,0
77,"Adli","BOU",3,50,"0.0",19,151,0,0,0
78,"Kroupi.Jr","BOU",3,75,"0.3",75,2221,0,0,0
79,"Evanilson","BOU",4,60,"3.1",15774,5592,9,154,2
80,"Enes Ünal","BOU",4,55,"0.0",0,130,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",311,326,1,9,0
566,"Silva","BOU",2,50,"0.4",869,588,6,180,2
573,"Sanchez","BOU",2,45,"0.2",68,389,0,0,0
608,"Jebbison","BOU",4,50,"0.1",798,282,1,15,0
615,"Di Gregorio","BOU",1,45,"0.0",273,78,0,0,0
82,"Kelleher","BRE",1,50,"6.6",14491,5040,8,116,2
83,"Valdimarsson","BRE",1,45,"0.1",134,163,0,0,0
84,"Collins","BRE",2,55,"2.1",4109,2189,7,116,2
85,"Van den Berg","BRE",2,50,"0.1",28,609,0,0,0
86,"Lewis-Potter","BRE",3,55,"1.2",7377,2104,11,116,2
87,"Ajer","BRE",2,45,"4.2",14057,4845,9,116,2
88,"Kayode","BRE",2,46,"8.2",28498,6299,14,101,2
89,"Henry","BRE",2,45,"0.2",94,268,0,0,0
90,"Hickey","BRE",2,45,"0.1",127,120,1,14,0
92,"Ji-soo","BRE",2,45,"0.0",28,42,0,0,0
93,"Schuster","BRE",2,45,"0.2",22,141,0,0,0
94,"Schade","BRE",3,60,"3.4",4156,7100,6,116,2
95,"O.Dango","BRE",3,65,"1.1",1090,2791,3,66,1
96,"Damsgaard","BRE",3,55,"0.5",483,1098,4,40,1
97,"Jensen","BRE",3,55,"0.2",480,378,6,66,1
98,"Janelt","BRE",3,50,"0.6",7397,1418,10,116,2
99,"Milambo","BRE",3,50,"0.0",9,9,0,0,0
100,"Carvalho","BRE",3,50,"0.0",103,56,0,0,0
102,"Yarmoliuk","BRE",3,50,"1.1",167,2247,1,23,0
103,"Dasilva","BRE",3,50,"0.0",30,78,0,0,0
105,"Anthony","BRE",3,60,"0.2",362,455,2,49,1
106,"Thiago","BRE",4,80,"16.2",11491,37141,1,108,2
107,"Furo","BRE",4,45,"0.9",2812,1663,0,0,0
108,"Wilson","BRE",4,55,"0.4",1016,923,1,7,0
565,"M.Sangaré","BRE",3,56,"9.8",58050,10469,15,101,2
620,"Diouf","BRE",2,45,"0.0",3214,525,0,0,0
109,"Verbruggen","BHA",1,45,"21.5",34180,14471,6,115,2
111,"Steele","BHA",1,40,"4.0",5417,2983,0,0,0
113,"F.Kadıoğlu","BHA",2,44,"2.2",1586,4264,0,25,1
114,"Boscagli","BHA",2,45,"0.3",1475,444,6,115,2
115,"De Cuyper","BHA",2,46,"10.2",127897,6006,17,102,2
116,"Dunk","BHA",2,45,"1.2",3912,1086,6,115,2
117,"Coppola","BHA",2,45,"0.0",47,42,0,0,0
118,"Igor","BHA",2,45,"0.1",123,114,0,0,0
119,"Costinha","BHA",2,45,"0.0",50,58,1,26,0
120,"Svoboda","BHA",2,50,"0.1",185,125,0,0,0
121,"Mitoma","BHA",3,60,"0.0",42,244,0,0,0
122,"Minteh","BHA",3,59,"0.1",19,509,0,0,0
123,"Hinshelwood","BHA",3,60,"2.0",2989,25155,16,63,1
124,"Groß","BHA",3,55,"12.6",8714,17969,3,115,2
125,"Georginio","BHA",4,55,"1.0",1818,4013,5,90,1
126,"O'Riley","BHA",3,55,"0.1",228,262,0,0,0
127,"Gomez","BHA",3,50,"3.8",9320,5446,7,110,2
128,"Buonanotte","BHA",3,50,"0.0",0,26,0,0,0
129,"Ayari","BHA",3,55,"0.6",1003,1527,2,63,1
130,"Wieffer","BHA",2,50,"0.5",3255,803,7,102,2
132,"Howell","BHA",3,45,"0.0",0,242,0,0,0
133,"Watson","BHA",3,50,"0.0",0,6,0,0,0
134,"Oriola","BHA",3,45,"0.3",486,482,0,0,0
135,"Yohanna","BHA",3,50,"0.1",82,197,1,12,0
