element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"39.3",31355,7185,29,360,4
2,"Arrizabalaga","ARS",1,49,"0.1",15,69,0,0,0
3,"Meslier","ARS",1,49,"0.0",16,34,0,0,0
4,"Gabriel","ARS",2,80,"23.7",4949,14773,24,360,4
5,"J.Timber","ARS",2,65,"0.1",1996,201,1,45,0
6,"Saliba","ARS",2,59,"0.2",85,326,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",512,1514,9,271,4
8,"Calafiori","ARS",2,58,"49.4",40075,5834,28,326,4
9,"Hincapie","ARS",2,53,"1.0",427,2390,2,32,0
10,"White","ARS",2,55,"7.4",6433,29319,21,315,4
11,"Mosquera","ARS",2,54,"2.4",29,12818,12,168,2
12,"Saka","ARS",3,95,"11.4",12522,7426,30,336,4
13,"Rice","ARS",3,74,"12.9",2800,11396,19,321,4
14,"Eze","ARS",3,63,"1.2",356,2898,3,68,0
15,"Ødegaard","ARS",3,67,"18.6",44419,9382,27,305,4
16,"Madueke","ARS",3,63,"0.2",68,509,2,23,0
17,"Merino","ARS",3,58,"0.4",174,1075,3,51,0
18,"Martinelli","ARS",3,63,"0.1",0,278,0,0,0
19,"Zubimendi","ARS",3,53,"0.7",139,1451,4,59,0
20,"Dowman","ARS",3,53,"0.1",63,139,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,19,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,8,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,11,0,0,0
25,"Gyökeres","ARS",4,72,"3.6",491,8109,1,12,0
26,"Havertz","ARS",4,76,"8.1",15604,9346,17,347,4
27,"G.Jesus","ARS",4,59,"0.2",0,398,0,0,0
31,"Konsa","ARS",2,45,"17.1",49063,4948,11,191,2
452,"Bruno G.","ARS",3,67,"1.7",1808,1887,8,64,0
557,"Tzolis","ARS",3,64,"15.7",4579,35714,14,290,4
29,"M.Bizot","AVL",1,45,"0.1",49,162,1,90,1
30,"Digne","AVL",2,45,"0.1",0,87,0,0,0
32,"Cash","AVL",2,45,"5.9",163,18723,7,251,3
33,"Mings","AVL",2,45,"0.4",334,577,7,171,1
34,"Pau","AVL",2,45,"0.4",138,937,3,187,3
35,"Bogarde","AVL",3,50,"0.1",68,134,1,16,0
36,"Maatsen","AVL",2,45,"0.8",448,3427,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",358,283,7,360,4
38,"A.García","AVL",2,40,"1.6",1226,1574,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,165,0,0,0
41,"Buendía","AVL",3,59,"1.0",433,3339,9,311,4
44,"Bailey","AVL",3,54,"0.1",0,276,0,0,0
45,"McGinn","AVL",3,54,"2.3",1932,2612,11,351,4
46,"Barkley","AVL",3,50,"0.3",248,464,9,302,4
47,"Kamara","AVL",3,50,"0.3",263,589,9,360,4
48,"Onana","AVL",3,49,"0.0",8,31,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,5,0,0,0
50,"Burrowes","AVL",3,45,"0.6",335,917,0,0,0
51,"George Hemmings","AVL",3,45,"1.3",2198,1739,8,279,4
52,"Alysson","AVL",3,50,"0.0",186,45,8,87,0
53,"Manzambi","AVL",3,59,"0.1",250,144,1,27,0
54,"Gomes","AVL",3,55,"0.0",50,42,-2,39,1
55,"Watkins","AVL",4,78,"2.9",0,6284,0,0,0
56,"Abraham","AVL",4,55,"0.2",277,310,3,69,0
160,"Garnacho","AVL",3,58,"0.4",92,1272,3,31,0
166,"N.Jackson","AVL",4,65,"1.3",1791,5001,4,199,3
582,"Madjo","AVL",4,54,"0.2",24,619,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",53,186,2,23,0
597,"Suzuki","AVL",1,50,"1.8",2908,2024,14,270,3
606,"Rowe","AVL",2,40,"0.2",306,190,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,216,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",612,192,5,107,1
618,"Goretzka","AVL",3,60,"0.0",7,332,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",45,55,0,0,0
631,"Mbaye","AVL",3,60,"0.1",251,218,1,27,0
57,"Petrović","BOU",1,45,"3.2",904,2962,7,360,4
58,"Forster","BOU",1,40,"3.4",2613,1302,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,138,0,0,0
60,"Hill","BOU",2,55,"0.8",483,1201,8,360,4
61,"Truffert","BOU",2,55,"3.4",865,3297,8,360,4
62,"Diakité","BOU",2,50,"0.2",116,340,0,0,0
63,"Milosavljević","BOU",2,49,"0.0",5,18,0,0,0
64,"Smith","BOU",2,45,"0.1",135,224,2,360,4
65,"J.Araujo","BOU",2,44,"0.0",8,18,0,0,0
66,"Soler","BOU",2,40,"0.3",410,247,0,0,0
67,"Rayan","BOU",3,64,"1.9",353,5618,8,347,4
