element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"38.8",106413,83981,15,270,3
2,"Arrizabalaga","ARS",1,49,"0.1",189,461,0,0,0
3,"Meslier","ARS",1,49,"0.0",68,171,0,0,0
4,"Gabriel","ARS",2,80,"24.9",25582,112925,15,270,3
5,"J.Timber","ARS",2,65,"0.1",363,796,0,0,0
6,"Saliba","ARS",2,60,"0.2",503,2089,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",3977,5062,8,226,3
8,"Calafiori","ARS",2,57,"47.4",225711,38778,22,236,3
9,"Hincapie","ARS",2,53,"1.1",2064,10082,2,32,0
10,"White","ARS",2,55,"7.6",60329,51853,20,270,3
11,"Mosquera","ARS",2,54,"3.6",540,82306,12,168,2
12,"Saka","ARS",3,95,"11.4",94588,52835,22,246,3
13,"Rice","ARS",3,74,"13.7",13311,67309,13,241,3
14,"Eze","ARS",3,64,"1.3",2363,15442,2,59,0
15,"Ødegaard","ARS",3,66,"13.1",217273,46025,24,221,3
16,"Madueke","ARS",3,63,"0.2",946,2300,2,23,0
17,"Merino","ARS",3,59,"0.5",1118,5708,2,46,0
18,"Martinelli","ARS",3,63,"0.1",0,4258,0,0,0
19,"Zubimendi","ARS",3,54,"0.7",992,6289,3,50,0
20,"Dowman","ARS",3,53,"0.1",317,709,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,221,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,179,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,59,0,0,0
25,"Gyökeres","ARS",4,73,"4.1",3741,47270,1,12,0
26,"Havertz","ARS",4,75,"7.4",86218,34461,16,257,3
27,"G.Jesus","ARS",4,59,"0.2",0,5267,0,0,0
31,"Konsa","ARS",2,44,"13.0",241049,45571,5,101,1
452,"Bruno G.","ARS",3,68,"1.9",1065,19785,1,19,0
557,"Tzolis","ARS",3,64,"17.6",33534,191723,11,210,3
29,"M.Bizot","AVL",1,45,"0.1",520,839,1,90,1
30,"Digne","AVL",2,45,"0.1",0,574,0,0,0
32,"Cash","AVL",2,45,"6.9",14010,22189,7,251,3
33,"Mings","AVL",2,45,"0.4",1421,1097,7,106,1
34,"Pau","AVL",2,45,"0.4",648,2777,2,163,2
35,"Bogarde","AVL",3,50,"0.1",368,613,1,16,0
