element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,61,"42.2",113768,40378,30,450,5
2,"Arrizabalaga","ARS",1,49,"0.1",88,214,0,0,0
3,"Meslier","ARS",1,49,"0.0",41,102,0,0,0
4,"Gabriel","ARS",2,80,"22.8",20327,59058,25,450,5
5,"J.Timber","ARS",2,65,"0.4",10520,3383,1,104,1
6,"Saliba","ARS",2,59,"0.2",327,961,0,0,0
7,"Lewis-Skelly","ARS",3,54,"0.6",755,4542,9,271,4
8,"Calafiori","ARS",2,58,"50.5",65711,55425,29,416,5
9,"Hincapie","ARS",2,52,"0.9",1240,5201,2,32,0
10,"White","ARS",2,55,"5.0",3175,59900,21,315,4
11,"Mosquera","ARS",2,53,"1.6",1021,8283,12,168,2
12,"Saka","ARS",3,95,"13.6",89009,40720,32,416,5
13,"Rice","ARS",3,74,"11.8",7195,68363,20,411,5
14,"Eze","ARS",3,63,"1.0",1897,5976,4,85,0
15,"Ødegaard","ARS",3,68,"19.8",65454,78776,29,377,5
16,"Madueke","ARS",3,62,"0.2",652,1404,2,23,0
17,"Merino","ARS",3,58,"0.4",589,2586,4,81,0
18,"Martinelli","ARS",3,63,"0.1",0,482,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",419,3323,5,89,0
20,"Dowman","ARS",3,53,"0.1",393,509,1,9,0
22,"Nwaneri","ARS",3,54,"0.0",0,46,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,34,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,16,0,0,0
25,"Gyökeres","ARS",4,71,"3.1",5379,14601,2,29,0
26,"Havertz","ARS",4,76,"8.5",49557,42676,19,437,5
27,"G.Jesus","ARS",4,59,"0.1",0,842,0,0,0
31,"Konsa","ARS",2,46,"19.4",80806,39184,12,281,3
452,"Bruno G.","ARS",3,67,"1.8",4636,6656,9,123,1
557,"Tzolis","ARS",3,63,"12.3",10263,129553,16,362,5
29,"M.Bizot","AVL",1,45,"0.1",52,890,1,90,1
30,"Digne","AVL",2,45,"0.0",0,190,0,0,0
32,"Cash","AVL",2,44,"4.9",2324,22592,6,296,3
33,"Mings","AVL",2,45,"0.4",1440,1199,10,261,2
34,"Pau","AVL",2,45,"0.3",37,2802,3,187,3
35,"Bogarde","AVL",3,49,"0.1",151,401,1,16,0
36,"Maatsen","AVL",2,44,"0.5",48,5539,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",850,1121,8,450,5
38,"A.García","AVL",2,40,"1.5",1618,5345,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,477,0,0,0
