element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"39.0",168786,144761,15,270,3
2,"Arrizabalaga","ARS",1,49,"0.1",237,652,0,0,0
3,"Meslier","ARS",1,49,"0.0",88,242,0,0,0
4,"Gabriel","ARS",2,80,"24.5",38861,170250,15,270,3
5,"J.Timber","ARS",2,65,"0.1",533,1113,0,0,0
6,"Saliba","ARS",2,59,"0.2",653,2780,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",5307,7626,8,226,3
8,"Calafiori","ARS",2,58,"48.3",337358,62537,22,236,3
9,"Hincapie","ARS",2,53,"1.1",2904,14053,2,32,0
10,"White","ARS",2,55,"7.6",84623,80965,20,270,3
11,"Mosquera","ARS",2,54,"3.1",655,123000,12,168,2
12,"Saka","ARS",3,95,"11.4",142899,100151,22,246,3
13,"Rice","ARS",3,74,"13.4",19235,102215,13,241,3
14,"Eze","ARS",3,64,"1.2",3096,21661,2,59,0
15,"Ødegaard","ARS",3,67,"15.6",470582,77641,24,221,3
16,"Madueke","ARS",3,63,"0.2",1227,3276,2,23,0
17,"Merino","ARS",3,59,"0.4",1518,7768,2,46,0
18,"Martinelli","ARS",3,63,"0.1",0,5268,0,0,0
19,"Zubimendi","ARS",3,54,"0.7",1245,9029,3,50,0
20,"Dowman","ARS",3,53,"0.1",495,1031,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,282,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,226,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,84,0,0,0
25,"Gyökeres","ARS",4,72,"3.9",4928,67394,1,12,0
26,"Havertz","ARS",4,75,"7.7",132273,52921,16,257,3
27,"G.Jesus","ARS",4,59,"0.2",0,6647,0,0,0
31,"Konsa","ARS",2,44,"14.5",409342,69922,5,101,1
452,"Bruno G.","ARS",3,68,"1.8",1682,27642,1,19,0
557,"Tzolis","ARS",3,64,"16.8",54168,274985,11,210,3
29,"M.Bizot","AVL",1,45,"0.1",737,1174,1,90,1
30,"Digne","AVL",2,45,"0.1",0,730,0,0,0
32,"Cash","AVL",2,45,"6.6",17706,47179,7,251,3
33,"Mings","AVL",2,45,"0.4",2812,1709,7,106,1
34,"Pau","AVL",2,45,"0.4",1805,3834,2,163,2
35,"Bogarde","AVL",3,50,"0.1",514,844,1,16,0
36,"Maatsen","AVL",2,45,"0.8",8715,4349,8,245,3
37,"Lindelöf","AVL",2,45,"0.3",2607,1418,6,270,3
38,"A.García","AVL",2,40,"1.7",9299,12483,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.2",0,1614,0,0,0
41,"Buendía","AVL",3,59,"1.0",8266,14797,7,249,3
44,"Bailey","AVL",3,54,"0.1",0,3742,0,0,0
45,"McGinn","AVL",3,54,"2.3",11365,22447,5,261,3
46,"Barkley","AVL",3,50,"0.3",3448,2493,7,240,3
47,"Kamara","AVL",3,50,"0.3",2653,3363,7,270,3
48,"Onana","AVL",3,50,"0.0",79,207,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,19,0,0,0
50,"Burrowes","AVL",3,45,"0.7",5346,6130,0,0,0
51,"George Hemmings","AVL",3,45,"1.2",35421,15462,7,234,3
52,"Alysson","AVL",3,50,"0.0",364,506,2,42,0
53,"Manzambi","AVL",3,59,"0.1",325,1437,0,0,0
54,"Gomes","AVL",3,55,"0.0",93,389,-2,39,1
55,"Watkins","AVL",4,78,"3.2",0,98816,0,0,0
56,"Abraham","AVL",4,55,"0.2",3141,2006,2,24,0
160,"Garnacho","AVL",3,59,"0.4",1196,6321,3,31,0
166,"N.Jackson","AVL",4,65,"1.2",25682,12553,4,154,2
582,"Madjo","AVL",4,55,"0.3",284,3971,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",194,830,2,23,0
597,"Suzuki","AVL",1,50,"1.6",53580,11855,12,180,2
606,"Rowe","AVL",2,40,"0.2",2159,1339,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,2501,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",2315,1599,2,17,0
618,"Goretzka","AVL",3,60,"0.0",879,1464,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",489,200,0,0,0
631,"Mbaye","AVL",3,60,"0.1",2236,1077,0,0,0
57,"Petrović","BOU",1,45,"3.3",19031,24503,6,270,3
58,"Forster","BOU",1,40,"3.5",24359,13952,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,1180,0,0,0
60,"Hill","BOU",2,55,"0.8",4952,7155,6,270,3
61,"Truffert","BOU",2,55,"3.5",7508,32450,5,270,3
62,"Diakité","BOU",2,50,"0.2",918,2070,0,0,0
63,"Milosavljević","BOU",2,50,"0.0",53,129,0,0,0
64,"Smith","BOU",2,45,"0.1",925,1202,2,270,3
65,"J.Araujo","BOU",2,44,"0.0",80,179,0,0,0
66,"Soler","BOU",2,40,"0.3",2924,1995,0,0,0
67,"Rayan","BOU",3,64,"2.0",5392,29333,6,266,3
68,"Tavernier","BOU",3,60,"3.4",114586,33003,21,268,3
69,"Scott","BOU",3,61,"5.0",266956,38145,24,266,3
70,"Kluivert","BOU",3,60,"1.0",5522,14246,7,229,3
71,"Cook","BOU",3,50,"0.2",1591,2445,7,157,2
72,"Gannon-Doak","BOU",3,49,"0.1",284,750,2,2,0
73,"Adams","BOU",3,50,"0.3",4094,2607,6,111,1
74,"Brooks","BOU",3,50,"0.1",510,581,2,23,0
75,"Christie","BOU",3,50,"0.0",715,404,2,4,0
76,"Tóth.A","BOU",3,50,"0.0",54,152,1,15,0
77,"Adli","BOU",3,49,"0.0",39,238,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",154,2594,0,0,0
79,"Evanilson","BOU",4,60,"3.2",32293,30862,11,244,3
80,"Enes Ünal","BOU",4,55,"0.0",0,179,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",937,1264,1,9,0
566,"Silva","BOU",2,50,"0.4",3293,4036,7,270,3
573,"Sanchez","BOU",2,45,"0.2",185,1119,0,0,0
608,"Jebbison","BOU",4,50,"0.1",2454,1352,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",556,388,0,0,0
82,"Kelleher","BRE",1,50,"6.7",24554,39139,11,270,3
83,"Valdimarsson","BRE",1,45,"0.1",444,728,0,0,0
84,"Collins","BRE",2,55,"1.7",1199,50008,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",57,982,0,0,0
86,"Lewis-Potter","BRE",3,55,"2.1",18881,21705,18,267,3
87,"Ajer","BRE",2,45,"4.8",35686,66488,13,270,3
88,"Kayode","BRE",2,46,"9.0",34761,78608,16,207,3
89,"Henry","BRE",2,45,"0.2",228,1358,1,2,0
90,"Hickey","BRE",2,45,"0.1",221,520,3,61,0
92,"Ji-soo","BRE",2,45,"0.0",84,182,0,0,0
93,"Schuster","BRE",2,45,"0.1",366,460,4,73,0
94,"Schade","BRE",3,60,"3.8",19248,56245,15,267,3
95,"O.Dango","BRE",3,64,"0.7",910,14774,5,140,2
96,"Damsgaard","BRE",3,55,"0.5",3797,3011,12,167,2
97,"Jensen","BRE",3,55,"0.1",23,3014,6,66,1
98,"Janelt","BRE",3,50,"1.9",110091,23947,21,270,3
99,"Milambo","BRE",3,50,"0.0",18,24,0,0,0
100,"Carvalho","BRE",3,50,"0.0",271,254,0,0,0
102,"Yarmoliuk","BRE",3,49,"0.8",564,10780,2,89,0
103,"Dasilva","BRE",3,50,"0.0",24,474,0,0,0
105,"Anthony","BRE",3,60,"0.1",504,1781,4,128,1
106,"Thiago","BRE",4,79,"11.6",16234,214513,4,262,3
107,"Furo","BRE",4,45,"1.1",14174,10346,0,0,0
108,"Wilson","BRE",4,55,"0.4",2041,4240,3,13,0
565,"M.Sangaré","BRE",3,57,"13.6",84128,214234,18,210,3
620,"Diouf","BRE",2,45,"0.1",1297,1521,0,0,0
109,"Verbruggen","BHA",1,45,"22.2",159990,125432,9,270,3
111,"Steele","BHA",1,40,"4.3",30965,22912,0,0,0
113,"F.Kadıoğlu","BHA",2,44,"1.8",4184,16533,2,167,2
114,"Boscagli","BHA",2,45,"0.3",1479,1948,7,270,3
115,"De Cuyper","BHA",2,48,"20.6",384912,84252,21,243,3
116,"Dunk","BHA",2,45,"1.3",11655,6532,10,270,3
117,"Coppola","BHA",2,45,"0.0",117,181,0,0,0
118,"Igor","BHA",2,45,"0.1",0,1574,0,0,0
119,"Costinha","BHA",2,45,"0.0",141,215,2,48,0
120,"Svoboda","BHA",2,50,"0.1",628,701,0,0,0
121,"Mitoma","BHA",3,59,"0.0",63,371,0,0,0
122,"Minteh","BHA",3,59,"0.0",27,565,0,0,0
123,"Hinshelwood","BHA",3,60,"1.0",889,30966,16,63,1
124,"Groß","BHA",3,56,"16.3",195537,128786,16,270,3
125,"Georginio","BHA",4,55,"0.6",793,12522,5,90,1
126,"O'Riley","BHA",3,55,"0.1",705,1066,0,0,0
127,"Gomez","BHA",3,50,"4.8",65855,66925,13,265,3
128,"Buonanotte","BHA",3,50,"0.0",0,31,0,0,0
129,"Ayari","BHA",3,54,"0.4",1326,4242,4,153,2
130,"Wieffer","BHA",2,50,"0.3",52,14541,7,156,2
132,"Howell","BHA",3,45,"0.0",0,444,0,0,0
133,"Watson","BHA",3,50,"0.0",0,17,0,0,0
134,"Oriola","BHA",3,45,"0.3",1680,2308,0,0,0
135,"Yohanna","BHA",3,49,"0.1",305,785,1,12,0
137,"Tzimas","BHA",4,55,"0.0",59,109,0,0,0
138,"Kostoulas","BHA",4,55,"0.5",10279,5471,8,195,2
139,"Ferguson","BHA",4,50,"0.0",286,401,0,0,0
328,"Struijk","BHA",2,50,"0.2",978,1702,1,1,0
504,"Vuskovic","BHA",2,50,"3.1",85297,26375,18,270,3
