element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"41.0",225046,49185,29,360,4
2,"Arrizabalaga","ARS",1,49,"0.1",154,478,0,0,0
3,"Meslier","ARS",1,49,"0.0",67,183,0,0,0
4,"Gabriel","ARS",2,80,"23.2",38286,89737,24,360,4
5,"J.Timber","ARS",2,65,"0.3",16171,2952,1,45,0
6,"Saliba","ARS",2,59,"0.2",365,1791,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.6",2732,8954,9,271,4
8,"Calafiori","ARS",2,58,"50.2",215035,61191,28,326,4
9,"Hincapie","ARS",2,53,"0.9",2243,13404,2,32,0
10,"White","ARS",2,55,"5.8",17892,188964,21,315,4
11,"Mosquera","ARS",2,53,"1.8",152,69943,12,168,2
12,"Saka","ARS",3,95,"12.8",157332,49302,30,336,4
13,"Rice","ARS",3,74,"12.5",23465,65781,19,321,4
14,"Eze","ARS",3,63,"1.1",2592,14934,3,68,0
15,"Ødegaard","ARS",3,68,"19.7",259241,98737,27,305,4
16,"Madueke","ARS",3,62,"0.2",987,3082,2,23,0
17,"Merino","ARS",3,58,"0.4",1178,5485,3,51,0
18,"Martinelli","ARS",3,63,"0.1",0,1312,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",1280,7621,4,59,0
20,"Dowman","ARS",3,53,"0.1",769,927,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,99,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,78,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,54,0,0,0
25,"Gyökeres","ARS",4,72,"3.2",3881,45478,1,12,0
26,"Havertz","ARS",4,76,"8.1",92999,80646,17,347,4
27,"G.Jesus","ARS",4,59,"0.2",0,2031,0,0,0
31,"Konsa","ARS",2,45,"18.5",261107,49523,11,191,2
452,"Bruno G.","ARS",3,67,"1.8",13627,7946,8,64,0
557,"Tzolis","ARS",3,64,"14.0",30191,214164,14,290,4
29,"M.Bizot","AVL",1,45,"0.1",385,1103,1,90,1
30,"Digne","AVL",2,45,"0.1",0,373,0,0,0
32,"Cash","AVL",2,44,"5.1",2511,97099,7,251,3
33,"Mings","AVL",2,45,"0.4",2630,4034,7,171,1
34,"Pau","AVL",2,45,"0.3",223,6796,3,187,3
35,"Bogarde","AVL",3,50,"0.1",420,817,1,16,0
36,"Maatsen","AVL",2,45,"0.6",525,22369,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",2620,2869,7,360,4
38,"A.García","AVL",2,40,"1.6",6207,11462,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,1015,0,0,0
41,"Buendía","AVL",3,59,"0.9",4492,16793,9,311,4
44,"Bailey","AVL",3,54,"0.1",0,1368,0,0,0
45,"McGinn","AVL",3,54,"2.2",14147,17862,11,351,4
46,"Barkley","AVL",3,50,"0.3",1982,3094,9,302,4
47,"Kamara","AVL",3,50,"0.3",1649,3755,9,360,4
48,"Onana","AVL",3,49,"0.0",52,179,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,19,0,0,0
50,"Burrowes","AVL",3,45,"0.6",1710,5891,0,0,0
51,"George Hemmings","AVL",3,45,"1.3",11503,13147,8,279,4
52,"Alysson","AVL",3,50,"0.1",1299,490,8,87,0
53,"Manzambi","AVL",3,59,"0.1",1524,822,1,27,0
54,"Gomes","AVL",3,55,"0.0",389,256,-2,39,1
55,"Watkins","AVL",4,78,"2.7",0,28931,0,0,0
56,"Abraham","AVL",4,55,"0.2",2873,2282,3,69,0
160,"Garnacho","AVL",3,58,"0.3",720,5851,3,31,0
166,"N.Jackson","AVL",4,65,"1.2",12789,26959,4,199,3
582,"Madjo","AVL",4,54,"0.2",224,3492,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",539,947,2,23,0
597,"Suzuki","AVL",1,50,"1.8",12896,14322,14,270,3
606,"Rowe","AVL",2,40,"0.2",1555,1378,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,1214,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",3744,1792,5,107,1
618,"Goretzka","AVL",3,59,"0.0",38,1216,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",276,291,0,0,0
631,"Mbaye","AVL",3,60,"0.1",2007,1124,1,27,0
57,"Petrović","BOU",1,45,"3.1",5481,20440,7,360,4
58,"Forster","BOU",1,40,"3.5",17611,11702,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,842,0,0,0
60,"Hill","BOU",2,55,"0.8",2663,8640,8,360,4
61,"Truffert","BOU",2,55,"3.2",4983,25763,8,360,4
62,"Diakité","BOU",2,50,"0.2",758,1880,0,0,0
63,"Milosavljević","BOU",2,49,"0.0",47,82,0,0,0
64,"Smith","BOU",2,45,"0.1",663,1530,2,360,4
65,"J.Araujo","BOU",2,44,"0.0",75,126,0,0,0
66,"Soler","BOU",2,40,"0.3",1974,1978,0,0,0
67,"Rayan","BOU",3,64,"1.7",3238,27871,8,347,4
68,"Tavernier","BOU",3,61,"6.0",251224,43702,29,350,4
69,"Scott","BOU",3,61,"5.8",59466,60422,28,356,4
70,"Kluivert","BOU",3,60,"1.0",10860,8070,15,294,4
71,"Cook","BOU",3,50,"0.2",675,3018,7,165,2
72,"Gannon-Doak","BOU",3,49,"0.1",267,658,3,10,0
73,"Adams","BOU",3,50,"0.3",2505,3292,8,192,2
74,"Brooks","BOU",3,50,"0.1",408,729,2,30,0
75,"Christie","BOU",3,50,"0.0",458,517,3,28,0
76,"Tóth.A","BOU",3,49,"0.0",46,113,1,15,0
77,"Adli","BOU",3,49,"0.0",22,182,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",123,1506,0,0,0
79,"Evanilson","BOU",4,60,"3.3",34327,34656,16,334,4
80,"Enes Ünal","BOU",4,55,"0.0",0,99,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",714,1121,2,10,0
566,"Silva","BOU",2,50,"0.4",1769,4669,10,360,4
573,"Sanchez","BOU",2,44,"0.2",261,1033,0,0,0
608,"Jebbison","BOU",4,50,"0.1",1635,1664,2,16,0
615,"Di Gregorio","BOU",1,45,"0.0",293,458,0,0,0
82,"Kelleher","BRE",1,50,"6.1",7469,49053,14,360,4
83,"Valdimarsson","BRE",1,45,"0.1",253,685,0,0,0
84,"Collins","BRE",2,54,"1.1",93,31139,10,196,3
85,"Van den Berg","BRE",2,49,"0.1",30,640,0,0,0
86,"Lewis-Potter","BRE",3,55,"1.8",4846,32909,19,326,4
87,"Ajer","BRE",2,45,"4.1",7282,49087,14,360,4
88,"Kayode","BRE",2,46,"7.8",15336,108010,17,226,3
89,"Henry","BRE",2,44,"0.2",336,1307,1,2,0
90,"Hickey","BRE",2,45,"0.1",261,492,4,131,1
92,"Ji-soo","BRE",2,45,"0.0",55,134,0,0,0
93,"Schuster","BRE",2,45,"0.1",251,708,7,163,1
94,"Schade","BRE",3,61,"6.9",327055,42295,30,357,4
95,"O.Dango","BRE",3,63,"0.5",661,10707,6,170,2
96,"Damsgaard","BRE",3,54,"0.4",1086,6045,13,197,2
97,"Jensen","BRE",3,54,"0.1",12,1405,6,66,1
98,"Janelt","BRE",3,50,"2.5",35509,25717,25,360,4
99,"Milambo","BRE",3,50,"0.0",14,26,0,0,0
100,"Carvalho","BRE",3,50,"0.0",215,287,0,0,0
102,"Yarmoliuk","BRE",3,48,"0.7",1392,6883,6,148,1
103,"Dasilva","BRE",3,49,"0.0",8,236,0,0,0
105,"Anthony","BRE",3,59,"0.1",460,1664,5,187,2
106,"Thiago","BRE",4,78,"9.1",15034,170370,5,352,4
107,"Furo","BRE",4,45,"1.0",6212,15956,0,0,0
108,"Wilson","BRE",4,55,"0.3",1276,4865,3,13,0
565,"M.Sangaré","BRE",3,57,"11.5",22808,155071,22,300,4
620,"Diouf","BRE",2,45,"0.1",878,1384,1,30,0
657,"Nunes","BRE",3,45,"0.0",1582,359,0,0,0
109,"Verbruggen","BHA",1,45,"21.6",70053,100369,17,360,4
111,"Steele","BHA",1,40,"4.2",15644,16412,0,0,0
113,"F.Kadıoğlu","BHA",2,44,"1.6",3468,13132,8,257,3
114,"Boscagli","BHA",2,45,"0.3",1090,1877,13,347,4
115,"De Cuyper","BHA",2,49,"24.3",334793,88692,32,333,4
116,"Dunk","BHA",2,45,"1.5",22852,8733,22,360,4
117,"Coppola","BHA",2,45,"0.0",154,186,0,0,0
118,"Igor","BHA",2,45,"0.0",0,720,0,0,0
119,"Costinha","BHA",2,45,"0.0",178,248,3,54,0
120,"Svoboda","BHA",2,50,"0.1",556,801,0,0,0
121,"Mitoma","BHA",3,59,"0.0",49,250,0,0,0
122,"Minteh","BHA",3,59,"0.0",24,403,0,0,0
