element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,61,"42.2",105402,34675,30,450,5
2,"Arrizabalaga","ARS",1,49,"0.1",80,181,0,0,0
3,"Meslier","ARS",1,49,"0.0",36,89,0,0,0
4,"Gabriel","ARS",2,80,"22.8",17770,53473,25,450,5
5,"J.Timber","ARS",2,65,"0.4",9250,2936,1,104,1
6,"Saliba","ARS",2,59,"0.2",284,841,0,0,0
7,"Lewis-Skelly","ARS",3,54,"0.6",669,4154,9,271,4
8,"Calafiori","ARS",2,58,"50.6",58473,49445,29,416,5
9,"Hincapie","ARS",2,52,"0.9",1064,4703,2,32,0
10,"White","ARS",2,55,"5.0",3119,53864,21,315,4
11,"Mosquera","ARS",2,53,"1.7",891,7384,12,168,2
12,"Saka","ARS",3,95,"13.5",77784,36375,32,416,5
13,"Rice","ARS",3,74,"11.9",6973,55737,20,411,5
14,"Eze","ARS",3,63,"1.0",1583,5324,4,85,0
15,"Ødegaard","ARS",3,68,"19.8",58359,71745,29,377,5
16,"Madueke","ARS",3,62,"0.2",561,1255,2,23,0
17,"Merino","ARS",3,58,"0.4",506,2337,4,81,0
18,"Martinelli","ARS",3,63,"0.1",0,415,0,0,0
19,"Zubimendi","ARS",3,53,"0.6",372,2964,5,89,0
20,"Dowman","ARS",3,53,"0.1",348,441,1,9,0
22,"Nwaneri","ARS",3,54,"0.0",0,41,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,31,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,15,0,0,0
25,"Gyökeres","ARS",4,71,"3.1",4376,12957,2,29,0
26,"Havertz","ARS",4,76,"8.5",45214,36859,19,437,5
27,"G.Jesus","ARS",4,59,"0.1",0,722,0,0,0
31,"Konsa","ARS",2,46,"19.4",73565,34867,12,281,3
452,"Bruno G.","ARS",3,67,"1.8",3969,5950,9,123,1
557,"Tzolis","ARS",3,63,"12.3",9139,122023,16,362,5
29,"M.Bizot","AVL",1,45,"0.1",43,809,1,90,1
30,"Digne","AVL",2,45,"0.0",0,168,0,0,0
32,"Cash","AVL",2,44,"4.9",2101,20696,6,296,3
33,"Mings","AVL",2,45,"0.4",1296,1064,10,261,2
34,"Pau","AVL",2,45,"0.3",28,2562,3,187,3
35,"Bogarde","AVL",3,49,"0.1",142,360,1,16,0
36,"Maatsen","AVL",2,44,"0.5",42,5090,9,335,4
37,"Lindelöf","AVL",2,45,"0.3",748,991,8,450,5
38,"A.García","AVL",2,40,"1.5",1425,4818,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,420,0,0,0
41,"Buendía","AVL",3,59,"1.0",9420,3080,21,401,5
44,"Bailey","AVL",3,54,"0.1",0,381,0,0,0
45,"McGinn","AVL",3,54,"2.2",5256,6608,17,434,5
46,"Barkley","AVL",3,50,"0.3",434,1428,10,308,4
47,"Kamara","AVL",3,50,"0.3",994,1237,15,443,5
48,"Onana","AVL",3,49,"0.0",28,73,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,8,0,0,0
